MECHANISM,SPECIATE_ID,SPECIES,MOLES
CB6R3_AE7,233,UNR,1
CB6R3_AE7,234,PAR,6
CB6R3_AE7,235,OLE,1
CB6R3_AE7,235,PAR,5
CB6R3_AE7,236,OLE,1
CB6R3_AE7,236,PAR,4
CB6R3_AE7,237,OLE,1
CB6R3_AE7,237,PAR,5
CB6R3_AE7,238,OLE,1
CB6R3_AE7,238,PAR,5
CB6R3_AE7,239,IOLE,1
CB6R3_AE7,239,PAR,2
CB6R3_AE7,240,OLE,1
CB6R3_AE7,240,PAR,5
CB6R3_AE7,242,IOLE,1
CB6R3_AE7,242,PAR,2
CB6R3_AE7,243,PAR,11
CB6R3_AE7,244,PAR,8
CB6R3_AE7,245,PAR,7
CB6R3_AE7,246,PAR,10
CB6R3_AE7,247,PAR,9
CB6R3_AE7,248,PAR,6
CB6R3_AE7,249,PAR,12
CB6R3_AE7,250,PAR,4
CB6R3_AE7,250,TOL,1
CB6R3_AE7,251,OLE,1
CB6R3_AE7,251,PAR,10
CB6R3_AE7,252,IOLE,1
CB6R3_AE7,252,PAR,3
CB6R3_AE7,253,PAR,8
CB6R3_AE7,253,UNR,1
CB6R3_AE7,254,PAR,12
CB6R3_AE7,255,PAR,10
CB6R3_AE7,256,PAR,12
CB6R3_AE7,257,OLE,1
CB6R3_AE7,257,PAR,5
CB6R3_AE7,258,OLE,1
CB6R3_AE7,258,PAR,4
CB6R3_AE7,259,PAR,6
CB6R3_AE7,260,IOLE,1
CB6R3_AE7,260,PAR,2
CB6R3_AE7,261,IOLE,1
CB6R3_AE7,261,PAR,3
CB6R3_AE7,262,IOLE,1
CB6R3_AE7,262,PAR,2
CB6R3_AE7,263,PAR,11
CB6R3_AE7,264,PAR,8
CB6R3_AE7,265,IVOC,1
CB6R3_AE7,266,PAR,10
CB6R3_AE7,267,PAR,9
CB6R3_AE7,268,PAR,12
CB6R3_AE7,269,PAR,12
CB6R3_AE7,270,OLE,1
CB6R3_AE7,270,PAR,5
CB6R3_AE7,271,IOLE,1
CB6R3_AE7,271,PAR,3
CB6R3_AE7,272,PAR,11
CB6R3_AE7,273,IVOC,1
CB6R3_AE7,274,PAR,10
CB6R3_AE7,275,PAR,12
CB6R3_AE7,276,PAR,11
CB6R3_AE7,277,PAR,12
CB6R3_AE7,279,ALD2,1
CB6R3_AE7,280,AACD,1
CB6R3_AE7,281,ACET,1
CB6R3_AE7,282,ETHY,1
CB6R3_AE7,283,ALDX,1
CB6R3_AE7,283,OLE,0.5
CB6R3_AE7,284,IVOC,1
CB6R3_AE7,285,OLE,1
CB6R3_AE7,285,UNR,1
CB6R3_AE7,286,IOLE,0.0016
CB6R3_AE7,286,OLE,0.11
CB6R3_AE7,286,PAR,5.3
CB6R3_AE7,286,TOL,0.098
CB6R3_AE7,286,UNR,1.52
CB6R3_AE7,286,XYLMN,0.074
CB6R3_AE7,287,IOLE,0.0016
