PROFILE_CODE,SPECIES_ID,WEIGHT_PERCENT
95820,3229,2.023532
95820,3234,0.004628
95820,3256,0.014826
95820,3257,0.098372
95820,3258,0.101177
95820,3302,0.007333
99001,442,0.397553438
99001,513,0.150518787
99001,3259,0.089966573
99001,478,0.066412342
99001,471,0.038433996
99001,417,0.036078821
99001,3260,0.026312063
99001,491,0.022990899
99001,281,0.020337763
99001,680,0.019935122
99001,592,0.018155293
99001,3287,0.016430677
99001,774,0.013098581
99001,671,0.008884306
99001,440,0.006629941
99001,114,0.006147141
99001,593,0.006147141
99001,772,0.006055221
99001,2355,0.005549662
99001,392,0.003286135
99001,664,0.003136766
99001,389,0.002275017
99001,3261,0.002252037
99001,2211,0.002229057
99001,444,0.002137137
99001,3198,0.001987767
99001,610,0.001678112
99001,306,0.001528168
99001,3227,0.001470718
99001,3186,0.001413283
99001,599,0.001391644
99001,3228,0.001240918
99001,3108,0.001160488
99001,378,0.001099591
99001,2160,0.001095072
99001,1934,0.000949073
99001,3412,0.000807746
99001,331,0.000790511
99001,3197,0.000683654
99001,3288,0.000660674
99001,674,0.000611267
99001,1903,0.00056186
99001,330,0.00056186
99001,3264,0.00048775
99001,3410,0.000484877
99001,3411,0.000457876
99001,3289,0.000455003
99001,412,0.000436045
99001,1020,0.000430874
99001,3305,0.000401575
99001,3306,0.000365381
99001,3304,0.000340284
99001,598,0.000337806
99001,3317,0.00032172
99001,527,0.000320571
99001,3226,0.000297591
99001,310,0.000279207
99001,3263,0.000272313
99001,2050,0.000244162
99001,609,0.000236694
99001,3414,0.000216012
99001,3229,0.000210267
99001,3318,0.00017235
99001,761,0.00014937
99001,600,0.000146199
99001,3121,0.000128688
99001,706,0.000125241
99001,3100,0.000124092
99001,717,0.000113406
99001,295,0.00010318
99001,2681,9.26215E-05
99001,439,8.84729E-05
99001,3113,8.10044E-05
99001,595,7.95107E-05
99001,445,6.98591E-05
99001,396,6.49184E-05
99001,435,6.31949E-05
99001,2691,6.03224E-05
99001,536,5.57327E-05
99001,977,5.3888E-05
99001,3314,5.33614E-05
99001,3153,5.28539E-05
99001,508,4.95238E-05
99001,3307,4.49258E-05
99001,3294,4.44662E-05
99001,768,4.18235E-05
99001,705,3.99851E-05
99001,3201,3.81697E-05
99001,605,3.74636E-05
99001,601,3.72275E-05
99001,3280,3.17124E-05
99001,3313,3.14826E-05
99001,3285,3.02187E-05
99001,3295,2.7576E-05
99001,118,2.70015E-05
99001,684,2.38992E-05
99001,3279,2.298E-05
99001,3168,2.05671E-05
99001,395,1.98777E-05
99001,663,1.93032E-05
99001,3165,1.91883E-05
99001,3274,1.80393E-05
99001,3202,1.80393E-05
99001,3265,1.65456E-05
99001,3309,1.50519E-05
99001,3316,1.47072E-05
99001,3121,1.41327E-05
99001,1051,1.40178E-05
99001,3230,1.39603E-05
99001,681,1.3788E-05
99001,3234,1.18347E-05
99001,3278,9.01964E-06
99001,656,8.59451E-06
99001,3083,7.03187E-06
99001,2334,6.92846E-06
99001,601,6.62972E-06
99001,550,6.5378E-06
99001,466,6.13565E-06
99001,390,5.99671E-06
99001,604,5.95181E-06
99001,465,5.68963E-06
99001,3200,5.45801E-06
99001,455,4.9292E-06
99001,3164,4.66493E-06
99001,3204,3.63083E-06
99001,603,3.38955E-06
99001,3257,2.84952E-06
99001,492,2.66568E-06
99001,3123,2.59674E-06
99001,682,2.57376E-06
99001,3211,2.35545E-06
99001,1936,2.32672E-06
99001,3203,2.11416E-06
99001,3312,1.82691E-06
99001,3293,1.77582E-06
99001,550,1.76946E-06
99001,352,1.62009E-06
99001,3143,1.56264E-06
99001,3208,1.43625E-06
99001,193,1.43625E-06
99001,3277,8.96219E-07
99001,3292,7.87064E-07
99001,402,7.00889E-07
99001,3320,8.08533E-09
99001,512,4.56659E-09
99001,3188,3.29881E-09
