PROFILE_CODE,SPECIES_ID,WEIGHT_PERCENT
96001,770,0.007045479
96001,3015,0.007045479
96001,3017,0.007045479
96001,2220,0.007045479
96001,390,0.007045479
96001,3018,0.007045479
96001,3027,0.007045479
96001,3028,0.007045479
96001,2796,0.007045479
96001,616,0.007045479
96001,3036,0.007045479
96001,2084,0.007045479
96001,97,0.007045479
96001,316,0.007045479
96001,59,0.007045479
96001,2201,0.007045479
96001,3008,0.003522739
96001,47,0.003522739
96001,33,0.003522739
96001,3013,0.003522739
96001,3001,0.003522739
96001,3029,0.003522739
96001,385,0.003522739
96001,3003,0.003522739
96001,299,0.003522739
96001,514,0.003522739
96001,2712,0.003522739
96001,707,0
96001,127,0
96001,122,0
96001,3004,0
96001,3034,0
96001,3465,1.046782866
96001,1762,0.222447807
96001,3473,0.716131008
96001,3533,0.066536874
96001,2499,0.368361447
96001,3461,0.73223584
96001,3534,0.750464661
96001,3449,0.68832399
96001,1820,2.071364926
96001,847,0.012816758
96001,2426,0.867847806
96001,3357,0.104839387
96001,3468,0.031348518
96001,3401,0.662564333
96001,2941,0.184503758
96001,3469,0.070454866
96001,3073,0.034010531
96001,3448,0.021229775
96001,3470,0.043541142
96001,2332,0.14881574
96001,935,0.645735538
96001,3309,0.001447523
96001,3455,0.554077105
96001,3462,0.38677285
96001,3438,0.04030267
96001,3535,1.950310286
96001,556,0.08995625
96001,3446,0.405969436
96001,3458,0.021846354
96001,315,0.281557388
96001,3453,1.125504289
96001,646,2.415605074
96001,3466,0.017030795
96001,947,3.142661942
96001,997,0.008947639
96001,3471,0.238209806
96001,3402,0.520552991
96001,3077,0.138975693
96001,2206,0.02819888
96001,3425,0.040728658
96001,3358,0.059993685
96001,716,0.445854817
96001,618,2.430506343
96001,410,0.10262806
96001,3475,0.047384576
96001,3467,0.213007384
96001,3474,0.059314344
96001,3444,0.019114264
96001,3463,0.000905033
96001,3459,0.108204052
96001,3536,3.395657381
96001,3450,1.229901744
96001,3359,0.010699069
96001,3370,2.04079836
96001,3403,0.474455614
96001,3360,0.061567014
96001,3404,2.563449726
96001,3371,1.13539294
96002,529,8.104932499
96002,465,4.735870321
96002,280,5.802939836
96002,452,3.141260821
96002,1757,3.361868451
96002,531,3.129271275
96002,281,0.887226339
96002,279,2.285207299
96002,2999,2.134139031
96002,678,1.067069515
96002,282,0.568304439
96002,283,0.697791526
96002,3019,1.05507997
96002,3005,1.213341966
96002,438,1.462724504
96002,302,1.318849963
96002,663,1.134210968
96002,46,0.167853632
96002,588,0.841666067
96002,717,0.575498166
96002,611,0.664220799
96002,382,0.604273074
96002,2640,0.671414527
96002,301,0.558712802
96002,1463,0.556314893
96002,1999,0.486775532
96002,511,0.177445268
96002,64,0.184638995
96002,466,1.127017241
96002,536,0.263769993
96002,671,0.551519075
96002,1083,1.942306309
96002,498,0.302136537
96002,673,0.29494281
96002,3020,0.287749083
96002,1567,0.280555356
96002,1013,0.275759538
96002,522,0.143874541
96002,30,0.035968635
96002,1670,1.07905906
96002,595,0.211015994
96002,392,0.199026449
96002,2562,0.232597175
96002,551,0.194230631
96002,109,0.069539362
96002,285,0.069539362
96002,497,0.175047359
96002,977,1.726494497
96002,3040,0.167853632
96002,25,0.059947726
96002,391,0.064743544
96002,177,0.134282905
96002,698,0.141476632
96002,188,0.103110088
96002,449,0.059947726
96002,992,0.127089178
96002,592,0.182241086
96002,78,0.12229336
96002,737,0.04795818
96002,184,0.117497542
96002,1902,0.719372707
96002,313,0.071937271
96002,2645,0.07433518
96002,108,0.081528907
96002,1903,0.095916361
96002,474,0.093518452
96002,367,0.035968635
96002,3010,0.093518452
96002,508,0.045560271
96002,2955,0.086324725
96002,76,0.091120543
96002,620,0.064743544
96002,185,0.059947726
96002,728,0.052753999
96002,840,0.076733089
96002,544,0.07433518
96002,541,0.071937271
96002,107,0.093518452
96002,2119,0.081528907
96002,89,0.069539362
96002,3006,0.064743544
96002,44,0.007193727
96002,3033,0.067141453
96002,181,0.035968635
96002,603,0.028774908
96002,598,0.028774908
96002,2642,0.059947726
96002,2724,0.062345635
96002,2954,0.059947726
96002,2815,0.057549817
96002,742,0.035968635
96002,610,0.052753999
96002,2154,0.045560271
96002,1825,0.045560271
96002,230,0.009591636
96002,3032,0.04795818
